839, 762
975, 974
690, 783
707, 91
736, 797
714, 948
14, 156
581, 582
565, 14
943, 997
498, 215
496, 722
573, 86
42, 226
196, 801
645, 788
644, 249
275, 292
974, 506
153, 317
811, 780
32, 402
723, 357
789, 695
69, 764
388, 766
898, 482
730, 536
158, 842
612, 210
465, 106
319, 590
501, 126
344, 934
824, 314
553, 350
684, 792
617, 99
226, 231
682, 570
62, 560
66, 98
752, 193
532, 580
692, 264
446, 265
303, 372
764, 187
146, 680
675, 227
4, 406
294, 105
915, 181
537, 875
110, 125
392, 16
896, 711
49, 749
498, 965
796, 656
374, 637
636, 996
409, 261
541, 918
33, 364
459, 782
257, 739
338, 473
815, 582
849, 891
92, 739
236, 419
459, 825
631, 831
184, 367
911, 452
439, 222
238, 292
181, 720
490, 190
143, 905
657, 606
199, 575
750, 21
151, 946
209, 321
67, 218
555, 260
137, 758
203, 377
716, 549
642, 679
220, 580
783, 772
222, 688
171, 582
133, 657
191, 318
653, 853
721, 74
911, 34
680, 616
739, 257
253, 225
274, 251
138, 887
133, 721
990, 570
568, 677
205, 741
323, 170
237, 216
650, 758
703, 319
603, 666
582, 209
955, 280
50, 736
624, 693
83, 993
70, 846
631, 544
203, 546
565, 155
201, 183
351, 597
7, 25
639, 855
572, 376
573, 697
250, 426
981, 87
461, 265
219, 164
873, 682
555, 165
478, 874
261, 263
254, 992
233, 443
338, 25
412, 895
643, 776
558, 53
198, 969
355, 579
94, 16
678, 412
407, 272
466, 88
54, 36
343, 806
757, 913
261, 11
39, 911
28, 530
221, 607
387, 566
721, 567
489, 4
669, 241
587, 369
727, 959
236, 386
387, 295
755, 287
514, 370
275, 62
19, 316
908, 610
901, 245
635, 368
663, 163
600, 48
348, 154
864, 185
600, 682
824, 966
219, 57
551, 64
712, 207
435, 769
427, 420
291, 828
61, 477
700, 705
384, 947
395, 336
502, 561
559, 235
825, 437
449, 76
45, 135
605, 579
874, 788
278, 936
412, 358
703, 900
840, 941
361, 73
364, 660
888, 569
729, 595
562, 490
551, 341
345, 193
554, 801
194, 177
165, 192
553, 77
497, 411
797, 753
2, 951
505, 271
438, 77
461, 614
914, 747
798, 849
80, 134
168, 579
746, 804
55, 401
22, 29
25, 134
499, 531
780, 623
725, 661
572, 239
2, 503
440, 105
466, 503
161, 280
89, 581
213, 736
45, 181
24, 404
772, 143
924, 212
239, 80
140, 624
1000, 45
741, 589
774, 861
975, 211
264, 55
191, 1000
588, 125
340, 104
437, 856
108, 265
616, 419
905, 176
285, 49
551, 643
396, 495
240, 98
309, 506
974, 107
506, 973
52, 565
767, 183
556, 735
993, 512
514, 408
519, 231
589, 782
805, 441
707, 745
664, 412
361, 513
148, 719
583, 71
495, 500
216, 712
598, 475
486, 669
225, 62
456, 182
866, 431
921, 25
935, 725
642, 798
688, 642
221, 857
858, 877
28, 898
59, 160
317, 911
193, 765
582, 871
751, 377
393, 835
119, 20
591, 999
218, 701
302, 334
212, 245
773, 15
464, 709
966, 418
829, 130
742, 115
935, 470
752, 944
859, 483
500, 237
150, 351
556, 811
435, 693
470, 635
691, 772
562, 142
680, 249
673, 623
640, 131
446, 71
179, 747
391, 119
793, 4
752, 983
718, 888
602, 715
677, 33
409, 459
442, 865
435, 670
794, 484
812, 654
443, 249
274, 822
190, 179
250, 344
714, 892
599, 741
273, 526
111, 498
797, 751
469, 754
94, 30
406, 486
31, 618
91, 203
382, 770
480, 805
669, 663
729, 570
877, 593
173, 666
822, 220
169, 880
743, 878
708, 954
289, 91
503, 858
430, 86
580, 932
758, 85
263, 697
1, 499
251, 950
442, 434
202, 974
1, 684
322, 844
302, 766
671, 444
588, 590
746, 436
758, 880
193, 647
103, 504
895, 968
244, 230
239, 519
119, 36
264, 757
723, 663
395, 349
290, 332
721, 386
68, 986
438, 928
445, 679
85, 915
425, 816
638, 350
798, 137
936, 437
677, 87
39, 745
452, 49
602, 807
146, 196
30, 507
384, 436
348, 677
651, 254
227, 833
578, 139
130, 898
36, 602
616, 267
202, 160
970, 812
669, 146
707, 982
276, 171
421, 949
24, 167
298, 142
523, 152
231, 230
851, 376
337, 576
820, 485
954, 838
933, 238
674, 739
397, 510
744, 629
5, 751
924, 848
93, 382
195, 591
